HUGO symbols	Cell population
GPR17	Tumor
SUSD2	Tumor
DLL3	Tumor
SAA3P	Tumor
DLX5	Tumor
STMN2	Tumor
SLN	Tumor
SOX11	Tumor
POSTN	Tumor
NXPH1	Tumor
DLX6-AS1	Tumor
SLPI	Tumor
SHD	Tumor
CHST9	Tumor
RPH3A	Tumor
FXYD6	Tumor
H19	Tumor
ASIC4	Tumor
SCN3A	Tumor
NNAT	Tumor
TMSB15A	Tumor
CHST8	Tumor
IGFBP5	Tumor
TAGLN3	Tumor
CTSK	Tumor
PTX3	Tumor
MEG3	Tumor
MLLT11	Tumor
DCX	Tumor
SNTG1	Tumor
PDGFRA	Tumor
LY6H	Tumor
TAC3	Tumor
NEFL	Tumor
IL13RA2	Tumor
NUDT11	Tumor
IGFBPL1	Tumor
ROBO2	Tumor
CA9	Tumor
ALDH1A3	Tumor
MEST	Tumor
KCNQ2	Tumor
CDK4	Tumor
NEU4	Tumor
BCHE	Tumor
GAP43	Tumor
VIPR2	Tumor
CA3	Tumor
NUDT10	Tumor
CTXN1	Tumor
LUZP2	Tumor
SEZ6L	Tumor
MMP9	Tumor
MAP2	Tumor
ATP1A3	Tumor
NEUROD6	Tumor
IGFBP2	Tumor
BEST3	Tumor
ELAVL4	Tumor
C2orf80	Tumor
RASL11B	Tumor
KLHL13	Tumor
LHFPL3	Tumor
CA10	Tumor
LTF	Tumor
TIMP4	Tumor
C1QL1	Tumor
SFRP4	Tumor
NRSN1	Tumor
SAA1	Tumor
CYP27B1	Tumor
BTBD17	Tumor
PCP4	Tumor
NOVA1	Tumor
UHRF1	Tumor
PAK3	Tumor
RNF180	Tumor
MEIS3	Tumor
NME1-NME2	Tumor
CCL4L2	Macrophage_Microglia
TREM2	Macrophage_Microglia
FCGBP	Macrophage_Microglia
FCGR1A	Macrophage_Microglia
IBSP	Macrophage_Microglia
P2RY12	Macrophage_Microglia
C1QB	Macrophage_Microglia
VMO1	Macrophage_Microglia
CSF1R	Macrophage_Microglia
LILRB4	Macrophage_Microglia
CSF2RA	Macrophage_Microglia
VSIG4	Macrophage_Microglia
C1QA	Macrophage_Microglia
CD14	Macrophage_Microglia
ADORA3	Macrophage_Microglia
FOLR2	Macrophage_Microglia
C3	Macrophage_Microglia
IFI30	Macrophage_Microglia
PLD4	Macrophage_Microglia
C1QC	Macrophage_Microglia
MLXIPL	Macrophage_Microglia
CFD	Macrophage_Microglia
DHRS9	Macrophage_Microglia
HAMP	Macrophage_Microglia
HPGDS	Macrophage_Microglia
OLR1	Macrophage_Microglia
CH25H	Macrophage_Microglia
TMEM119	Macrophage_Microglia
SLC11A1	Macrophage_Microglia
APOC1P1	Macrophage_Microglia
SIGLEC9	Macrophage_Microglia
MS4A7	Macrophage_Microglia
MSR1	Macrophage_Microglia
C2	Macrophage_Microglia
ADAP2	Macrophage_Microglia
NAPSB	Macrophage_Microglia
HLA-DRB6	Macrophage_Microglia
CEBPA	Macrophage_Microglia
PLA2G7	Macrophage_Microglia
APOC1	Macrophage_Microglia
OLFML3	Macrophage_Microglia
APOC2	Macrophage_Microglia
IGSF6	Macrophage_Microglia
CCL3L3	Macrophage_Microglia
RNASE2	Macrophage_Microglia
CX3CR1	Macrophage_Microglia
C3AR1	Macrophage_Microglia
IL18	Macrophage_Microglia
CD163	Macrophage_Microglia
PRAM1	Macrophage_Microglia
CLEC5A	Macrophage_Microglia
FCGR2A	Macrophage_Microglia
GPR34	Macrophage_Microglia
MS4A6A	Macrophage_Microglia
TREML1	Macrophage_Microglia
AIF1	Macrophage_Microglia
CD68	Macrophage_Microglia
CCL20	Macrophage_Microglia
IGF1	Macrophage_Microglia
ANKRD22	Macrophage_Microglia
MS4A4A	Macrophage_Microglia
PLXDC2	Macrophage_Microglia
FCGR3A	Macrophage_Microglia
CD86	Macrophage_Microglia
GPNMB	Macrophage_Microglia
SPI1	Macrophage_Microglia
CRYBB1	Macrophage_Microglia
APOC4-APOC2	Macrophage_Microglia
SPP1	Macrophage_Microglia
PILRA	Macrophage_Microglia
LTC4S	Macrophage_Microglia
IL1B	Macrophage_Microglia
TGFBI	Macrophage_Microglia
SIGLEC10	Macrophage_Microglia
LHFPL2	Macrophage_Microglia
LPCAT2	Macrophage_Microglia
SIGLEC8	Macrophage_Microglia
SLC15A3	Macrophage_Microglia
LST1	Macrophage_Microglia
HAPLN4	T_cell
KLK7	T_cell
ZNF619	T_cell
SIRT4	T_cell
POU3F4	T_cell
DLG5	T_cell
ICOS	T_cell
