HUGO symbols	Cell population
NKG7	NK_cell
CD7	NK_cell
KLRB1	NK_cell
CCL5	NK_cell
CTSW	NK_cell
XCL2	NK_cell
XCL1	NK_cell
TRDC	NK_cell
KLRD1	NK_cell
KLRC1	NK_cell
GZMA	NK_cell
IL2RB	NK_cell
APOBEC3G	NK_cell
IFITM2	NK_cell
TNFRSF18	NK_cell
KRT81	NK_cell
HCST	NK_cell
GZMB	NK_cell
CD69	NK_cell
AREG	NK_cell
KRT86	NK_cell
IL32	NK_cell
CST7	NK_cell
CD247	NK_cell
CMC1	NK_cell
PRF1	NK_cell
CORO1A	NK_cell
MYL12A	NK_cell
MATK	NK_cell
LY6E	NK_cell
LSP1	NK_cell
CLIC3	NK_cell
DUSP2	NK_cell
ZNF683	NK_cell
IL2RG	NK_cell
TMIGD2	NK_cell
RAC2	NK_cell
CD48	NK_cell
CCL4	NK_cell
HLA-C	NK_cell
PLAAT4	NK_cell
GZMM	NK_cell
CD52	NK_cell
CLEC2B	NK_cell
LIMD2	NK_cell
LTB	NK_cell
ACAP1	NK_cell
HOPX	NK_cell
ISG15	NK_cell
IGKC	B_cell
CD79A	B_cell
MS4A1	B_cell
IGLC2	B_cell
LTB	B_cell
CD79B	B_cell
IGHM	B_cell
CD37	B_cell
CD52	B_cell
BANK1	B_cell
CD69	B_cell
CXCR4	B_cell
HLA-DQA1	B_cell
HLA-DQB1	B_cell
CD48	B_cell
LIMD2	B_cell
HLA-DRA	B_cell
SELL	B_cell
CD74	B_cell
BIRC3	B_cell
SPIB	B_cell
CORO1A	B_cell
TNFRSF13C	B_cell
POU2F2	B_cell
PLAC8	B_cell
BLK	B_cell
CD24	B_cell
BTG1	B_cell
NCF1	B_cell
TSC22D3	B_cell
HLA-DPB1	B_cell
RAC2	B_cell
ISG20	B_cell
TNFRSF13B	B_cell
FCMR	B_cell
HVCN1	B_cell
FCRLA	B_cell
PTPN6	B_cell
RIPOR2	B_cell
EVI2B	B_cell
TXNIP	B_cell
PDLIM1	B_cell
GPSM3	B_cell
LSP1	B_cell
HLA-DRB5	B_cell
JCHAIN	B_cell
ARHGAP24	B_cell
TNFAIP8	B_cell
ICAM3	B_cell
HLA-DPA1	B_cell
IGFBP7	Endothelial
CLDN5	Endothelial
SPARC	Endothelial
ITM2A	Endothelial
CCN2	Endothelial
A2M	Endothelial
COL4A1	Endothelial
ANGPT2	Endothelial
CA2	Endothelial
IFI27	Endothelial
GNG11	Endothelial
VWF	Endothelial
COL4A2	Endothelial
RGCC	Endothelial
ESAM	Endothelial
APOLD1	Endothelial
HSPG2	Endothelial
SLC38A5	Endothelial
INSR	Endothelial
SPARCL1	Endothelial
ABCG2	Endothelial
ADGRL4	Endothelial
MFSD2A	Endothelial
TM4SF1	Endothelial
FLT1	Endothelial
EPAS1	Endothelial
EDN1	Endothelial
IFITM3	Endothelial
PECAM1	Endothelial
IGFBP3	Endothelial
TSC22D1	Endothelial
EGFL7	Endothelial
PODXL	Endothelial
CAVIN2	Endothelial
SLC9A3R2	Endothelial
FN1	Endothelial
SPINK8	Endothelial
SLC7A5	Endothelial
RAMP2	Endothelial
SLC2A1	Endothelial
MCAM	Endothelial
ENG	Endothelial
ITGB1	Endothelial
ADGRF5	Endothelial
PCAT19	Endothelial
APLN	Endothelial
C1orf54	Endothelial
STC1	Endothelial
TIMP3	Endothelial
CD93	Endothelial
CST3	Tumor
S100B	Tumor
SLC1A3	Tumor
HEPN1	Tumor
HOPX	Tumor
MT3	Tumor
SPARCL1	Tumor
MLC1	Tumor
GFAP	Tumor
FABP7	Tumor
BCAN	Tumor
PON2	Tumor
METTL7B	Tumor
SPARC	Tumor
GATM	Tumor
RAMP1	Tumor
PMP2	Tumor
AQP4	Tumor
DBI	Tumor
EDNRB	Tumor
PTPRZ1	Tumor
CLU	Tumor
PMP22	Tumor
ATP1A2	Tumor
S100A16	Tumor
HEY1	Tumor
PCDHGC3	Tumor
TTYH1	Tumor
NDRG2	Tumor
PRCP	Tumor
ATP1B2	Tumor
AGT	Tumor
PLTP	Tumor
GPM6B	Tumor
F3	Tumor
RAB31	Tumor
PPAP2B	Tumor
ANXA5	Tumor
TSPAN7	Tumor
CHI3L1	Tumor
ANXA2	Tumor
ANXA1	Tumor
CD44	Tumor
VIM	Tumor
MT2A	Tumor
C1S	Tumor
NAMPT	Tumor
EFEMP1	Tumor
C1R	Tumor
SOD2	Tumor
IFITM3	Tumor
TIMP1	Tumor
SPP1	Tumor
A2M	Tumor
S100A11	Tumor
MT1X	Tumor
S100A10	Tumor
FN1	Tumor
LGALS1	Tumor
CLIC1	Tumor
MGST1	Tumor
RCAN1	Tumor
TAGLN2	Tumor
NPC2	Tumor
SERPING1	Tumor
C8orf4	Tumor
EMP1	Tumor
APOE	Tumor
CTSB	Tumor
C3	Tumor
LGALS3	Tumor
MT1E	Tumor
EMP3	Tumor
SERPINA3	Tumor
ACTN1	Tumor
PRDX6	Tumor
IGFBP7	Tumor
SERPINE1	Tumor
PLP2	Tumor
MGP	Tumor
CLIC4	Tumor
GFPT2	Tumor
GSN	Tumor
NNMT	Tumor
TUBA1C	Tumor
GJA1	Tumor
TNFRSF1A	Tumor
WWTR1	Tumor
HILPDA	Tumor
ADM	Tumor
DDIT3	Tumor
NDRG1	Tumor
HERPUD1	Tumor
DNAJB9	Tumor
TRIB3	Tumor
ENO2	Tumor
AKAP12	Tumor
SQSTM1	Tumor
ATF3	Tumor
NRN1	Tumor
SLC2A1	Tumor
BNIP3	Tumor
INSIG2	Tumor
IGFBP3	Tumor
PPP1R15A	Tumor
PLOD2	Tumor
GBE1	Tumor
SLC2A3	Tumor
FTL	Tumor
WARS	Tumor
ERO1L	Tumor
XPOT	Tumor
HSPA5	Tumor
GDF15	Tumor
EPAS1	Tumor
LDHA	Tumor
P4HA1	Tumor
SERTAD1	Tumor
PFKP	Tumor
PGK1	Tumor
EGLN3	Tumor
SLC6A6	Tumor
CA9	Tumor
BNIP3L	Tumor
RPL21	Tumor
TRAM1	Tumor
UFM1	Tumor
ASNS	Tumor
GOLT1B	Tumor
ANGPTL4	Tumor
SLC39A14	Tumor
CDKN1A	Tumor
HSPA9	Tumor
DLL3	Tumor
DLL1	Tumor
SOX4	Tumor
TUBB3	Tumor
HES6	Tumor
TAGLN3	Tumor
NEU4	Tumor
MARCKSL1	Tumor
CD24	Tumor
STMN1	Tumor
TCF12	Tumor
BEX1	Tumor
OLIG1	Tumor
MAP2	Tumor
FXYD6	Tumor
PTPRS	Tumor
MLLT11	Tumor
NPPA	Tumor
MEST	Tumor
ASCL1	Tumor
BTG2	Tumor
DCX	Tumor
NXPH1	Tumor
HN1	Tumor
PFN2	Tumor
SCG3	Tumor
MYT1	Tumor
CHD7	Tumor
GPR56	Tumor
TUBA1A	Tumor
PCBP4	Tumor
ETV1	Tumor
SHD	Tumor
TNR	Tumor
AMOTL2	Tumor
DBN1	Tumor
HIP1	Tumor
ABAT	Tumor
ELAVL4	Tumor
LMF1	Tumor
GRIK2	Tumor
SERINC5	Tumor
TSPAN13	Tumor
ELMO1	Tumor
GLCCI1	Tumor
SEZ6L	Tumor
LRRN1	Tumor
SEZ6	Tumor
SOX11	Tumor
STMN2	Tumor
RND3	Tumor
HMP19	Tumor
MIAT	Tumor
NSG1	Tumor
DLX6-AS1	Tumor
NREP	Tumor
FNBP1L	Tumor
STMN4	Tumor
DLX5	Tumor
MAP1B	Tumor
RBFOX2	Tumor
IGFBPL1	Tumor
TMEM161B-AS1	Tumor
DPYSL3	Tumor
SEPT3	Tumor
PKIA	Tumor
ATP1B1	Tumor
DYNC1I1	Tumor
CD200	Tumor
SNAP25	Tumor
PAK3	Tumor
NDRG4	Tumor
KIF5A	Tumor
UCHL1	Tumor
KIF5C	Tumor
DDAH2	Tumor
TUBB2A	Tumor
LBH	Tumor
LOC150568	Tumor
TCF4	Tumor
GNG3	Tumor
NFIB	Tumor
DPYSL5	Tumor
CRABP1	Tumor
NFIX	Tumor
CEP170	Tumor
BLCAP	Tumor
PLP1	Tumor
GPR17	Tumor
FIBIN	Tumor
LHFPL3	Tumor
PSAT1	Tumor
SCRG1	Tumor
OMG	Tumor
APOD	Tumor
SIRT2	Tumor
THY1	Tumor
PHYHIPL	Tumor
SOX2-OT	Tumor
NKAIN4	Tumor
LPPR1	Tumor
VCAN	Tumor
CNP	Tumor
TNS3	Tumor
LIMA1	Tumor
CA10	Tumor
CNTN1	Tumor
SCD5	Tumor
P2RX7	Tumor
CADM2	Tumor
FGF12	Tumor
TMEM206	Tumor
RNF13	Tumor
RTKN	Tumor
ALCAM	Tumor
PGRMC1	Tumor
HRASLS	Tumor
BCAS1	Tumor
PLLP	Tumor
FABP5	Tumor
NLGN3	Tumor
EPB41L2	Tumor
GPR37L1	Tumor
