,Tumor,Macrophage_Microglia,T_cell,NK_cell,B_cell,Endothelial,Oligodendrocyte,Astrocyte
mix00000,0.010869565217391304,0.9326086956521739,0.05652173913043478,0.0,0.0,0.0,0.0,0.0
mix00001,0.6580882352941176,0.27941176470588236,0.022058823529411766,0.04044117647058824,0.0,0.0,0.0,0.0
mix00002,0.37613019891500904,0.003616636528028933,0.0,0.15732368896925858,0.09584086799276673,0.0,0.09764918625678119,0.2694394213381555
mix00003,0.08395061728395062,0.5654320987654321,0.3506172839506173,0.0,0.0,0.0,0.0,0.0
mix00004,0.4491758241758242,0.29120879120879123,0.0,0.0,0.0,0.21016483516483517,0.04120879120879121,0.008241758241758242
mix00005,0.4411764705882353,0.23529411764705882,0.3235294117647059,0.0,0.0,0.0,0.0,0.0
mix00006,0.7716216216216216,0.21351351351351353,0.014864864864864866,0.0,0.0,0.0,0.0,0.0
mix00007,0.047619047619047616,0.08020050125313283,0.012531328320802004,0.0,0.0,0.02506265664160401,0.8345864661654135,0.0
mix00008,0.2222222222222222,0.05895691609977324,0.024943310657596373,0.011337868480725623,0.0,0.036281179138321996,0.6462585034013606,0.0
mix00009,0.21084337349397592,0.0783132530120482,0.0,0.006024096385542169,0.0,0.015060240963855422,0.4036144578313253,0.286144578313253
mix00010,0.01867572156196944,0.0865874363327674,0.7572156196943973,0.13752122241086587,0.0,0.0,0.0,0.0
mix00011,0.5890151515151515,0.3693181818181818,0.001893939393939394,0.0,0.0,0.0,0.015151515151515152,0.02462121212121212
mix00012,0.03617571059431524,0.5400516795865633,0.1524547803617571,0.06459948320413436,0.0,0.07493540051679587,0.13178294573643412,0.0
mix00013,0.3346153846153846,0.6615384615384615,0.0038461538461538464,0.0,0.0,0.0,0.0,0.0
mix00014,0.0,0.941908713692946,0.0,0.058091286307053944,0.0,0.0,0.0,0.0
mix00015,0.19462025316455697,0.012658227848101266,0.0189873417721519,0.21360759493670886,0.5395569620253164,0.0,0.020569620253164556,0.0
mix00016,0.4397590361445783,0.26706827309236947,0.06224899598393574,0.0,0.0,0.04417670682730924,0.18674698795180722,0.0
mix00017,0.0,0.515748031496063,0.44881889763779526,0.0,0.0,0.0,0.03543307086614173,0.0
mix00018,0.9838709677419355,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0
mix00019,0.38461538461538464,0.25328330206378985,0.0,0.0,0.0,0.028142589118198873,0.2626641651031895,0.07129455909943715
mix00020,0.08040201005025126,0.22110552763819097,0.1658291457286432,0.20100502512562815,0.3316582914572864,0.0,0.0,0.0
mix00021,0.5574468085106383,0.07659574468085106,0.11914893617021277,0.24680851063829787,0.0,0.0,0.0,0.0
mix00022,0.5446428571428571,0.25297619047619047,0.020833333333333332,0.0,0.0,0.0,0.18154761904761904,0.0
mix00023,0.1344,0.0,0.1968,0.1408,0.0,0.112,0.416,0.0
mix00024,0.5394990366088632,0.2947976878612717,0.015414258188824663,0.0019267822736030828,0.0,0.07321772639691715,0.07514450867052024,0.0
mix00025,0.2647058823529412,0.18627450980392157,0.008169934640522876,0.3333333333333333,0.08660130718954248,0.0,0.12091503267973856,0.0
mix00026,0.5698924731182796,0.34408602150537637,0.025089605734767026,0.0,0.025089605734767026,0.0,0.035842293906810034,0.0
mix00027,0.5721649484536082,0.3711340206185567,0.05670103092783505,0.0,0.0,0.0,0.0,0.0
mix00028,0.29873772791023845,0.2861150070126227,0.0,0.30995792426367463,0.0,0.0,0.10518934081346423,0.0
mix00029,0.5657894736842105,0.0,0.09649122807017543,0.0,0.0,0.0,0.33771929824561403,0.0
mix00030,0.42086956521739133,0.18434782608695652,0.0,0.0034782608695652175,0.0,0.0,0.3026086956521739,0.08869565217391304
mix00031,0.13544668587896252,0.23054755043227665,0.011527377521613832,0.002881844380403458,0.0,0.08069164265129683,0.5389048991354467,0.0
mix00032,0.424390243902439,0.16829268292682928,0.007317073170731708,0.00975609756097561,0.0,0.32195121951219513,0.06829268292682927,0.0
mix00033,0.6102756892230576,0.3182957393483709,0.03634085213032581,0.0012531328320802004,0.0,0.0,0.03383458646616541,0.0
mix00034,0.5254437869822485,0.08402366863905325,0.0,0.20710059171597633,0.0,0.09467455621301775,0.04378698224852071,0.04497041420118343
mix00035,0.4614512471655329,0.18594104308390022,0.035147392290249435,0.0011337868480725624,0.0,0.3129251700680272,0.003401360544217687,0.0
mix00036,0.9555555555555556,0.0,0.040740740740740744,0.003703703703703704,0.0,0.0,0.0,0.0
mix00037,0.3744075829383886,0.4075829383886256,0.004739336492890996,0.0,0.0,0.19194312796208532,0.02132701421800948,0.0
mix00038,0.0,0.9251336898395722,0.06417112299465241,0.0106951871657754,0.0,0.0,0.0,0.0
mix00039,0.2066420664206642,0.18450184501845018,0.0036900369003690036,0.0,0.0,0.0,0.6051660516605166,0.0
mix00040,0.26916524701873934,0.151618398637138,0.13287904599659284,0.0,0.0,0.0,0.4463373083475298,0.0
mix00041,0.4247104247104247,0.10810810810810811,0.011583011583011582,0.0694980694980695,0.04633204633204633,0.2084942084942085,0.13127413127413126,0.0
mix00042,0.5849673202614379,0.26633986928104575,0.017973856209150325,0.024509803921568627,0.0,0.05718954248366013,0.049019607843137254,0.0
mix00043,0.5054945054945055,0.46153846153846156,0.03296703296703297,0.0,0.0,0.0,0.0,0.0
mix00044,0.0,0.18532818532818532,0.0,0.0,0.0,0.2084942084942085,0.15444015444015444,0.4517374517374517
mix00045,0.6658795749704841,0.22786304604486424,0.01652892561983471,0.0,0.0,0.04132231404958678,0.048406139315230225,0.0
mix00046,0.71712158808933,0.228287841191067,0.03225806451612903,0.01488833746898263,0.007444168734491315,0.0,0.0,0.0
mix00047,0.07692307692307693,0.25384615384615383,0.0,0.0038461538461538464,0.0,0.15384615384615385,0.5115384615384615,0.0
mix00048,0.3315508021390374,0.0,0.21390374331550802,0.17914438502673796,0.0,0.0,0.27540106951871657,0.0
mix00049,0.02824858757062147,0.08662900188323917,0.35969868173258,0.05273069679849341,0.0,0.2542372881355932,0.2184557438794727,0.0
mix00050,0.6105610561056105,0.28052805280528054,0.0,0.0033003300330033004,0.0,0.0,0.10561056105610561,0.0
mix00051,0.6796536796536796,0.1414141414141414,0.0,0.021645021645021644,0.046176046176046176,0.0,0.1111111111111111,0.0
mix00052,0.1522198731501057,0.4989429175475687,0.0,0.0,0.0,0.1226215644820296,0.010570824524312896,0.2156448202959831
mix00053,0.0,0.09330406147091108,0.3084522502744237,0.010976948408342482,0.24368825466520308,0.0,0.34357848518111966,0.0
mix00054,0.24497991967871485,0.04819277108433735,0.0823293172690763,0.1686746987951807,0.05220883534136546,0.20481927710843373,0.19879518072289157,0.0
mix00055,0.5833333333333334,0.3888888888888889,0.011111111111111112,0.0,0.0,0.0,0.016666666666666666,0.0
mix00056,0.4420731707317073,0.16310975609756098,0.3948170731707317,0.0,0.0,0.0,0.0,0.0
mix00057,0.6192307692307693,0.37051282051282053,0.010256410256410256,0.0,0.0,0.0,0.0,0.0
mix00058,0.7306122448979592,0.18571428571428572,0.05510204081632653,0.0,0.0,0.0,0.02857142857142857,0.0
mix00059,0.0,0.5108695652173914,0.0,0.043478260869565216,0.0,0.1,0.3456521739130435,0.0
mix00060,0.4714587737843552,0.3128964059196617,0.016913319238900635,0.0,0.012684989429175475,0.0,0.18604651162790697,0.0
mix00061,0.0,0.2481012658227848,0.08354430379746836,0.0379746835443038,0.0,0.0,0.6303797468354431,0.0
mix00062,0.6587926509186351,0.08136482939632546,0.2099737532808399,0.0,0.0,0.0,0.049868766404199474,0.0
mix00063,0.5405405405405406,0.45045045045045046,0.0,0.0,0.009009009009009009,0.0,0.0,0.0
mix00064,0.6673076923076923,0.27692307692307694,0.013461538461538462,0.0,0.0,0.0,0.04230769230769231,0.0
mix00065,0.058823529411764705,0.0,0.07352941176470588,0.8676470588235294,0.0,0.0,0.0,0.0
mix00066,0.017543859649122806,0.43859649122807015,0.0,0.4824561403508772,0.06140350877192982,0.0,0.0,0.0
mix00067,0.46440677966101696,0.26101694915254237,0.003389830508474576,0.0,0.0,0.0711864406779661,0.2,0.0
mix00068,0.0,0.9305555555555556,0.041666666666666664,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0
mix00069,0.1624087591240876,0.16058394160583941,0.01824817518248175,0.0,0.0,0.0,0.6587591240875912,0.0
mix00070,0.26558891454965355,0.6766743648960739,0.004618937644341801,0.0,0.0,0.016166281755196306,0.0023094688221709007,0.03464203233256351
mix00071,0.6324110671936759,0.1541501976284585,0.015810276679841896,0.0,0.0,0.0,0.1976284584980237,0.0
mix00072,0.0,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
mix00073,0.1105121293800539,0.14016172506738545,0.009433962264150943,0.0,0.0,0.0,0.7398921832884097,0.0
mix00074,0.1419141914191419,0.1485148514851485,0.15841584158415842,0.0594059405940594,0.0,0.07590759075907591,0.4158415841584158,0.0
mix00075,0.10681818181818181,0.15227272727272728,0.03409090909090909,0.175,0.056818181818181816,0.0,0.475,0.0
